# Іменники
# !noun

# з тегами

Ігоре Ігор noun:anim:m:v_kly:prop:fname:bad
бельмеса бельмеса noun:m:v_rod          # lim
язицех язик noun:p:v_mis

світа світ noun:m:v_rod:rare

давніх-давен давніх-давен noun:p:v_rod:ns           # lim

роб роб noun:m:v_naz/v_zna                  # lim
робом роб noun:m:v_oru

кінця-краю кінця-краю noun:m:v_rod                  # lim
предку-віку предку-віку noun:m:v_zna                # lim

галай-балай галай-балай noun:m:v_naz/v_zna                      # lim
усюди /np2 /np1

ван ван part:pers
дель дель part:pers
фон фон part:pers
бен бен part:pers
делла делла part:pers

кадівб кадівб noun:inanim:m:v_naz:rare
кадовба кадівб noun:inanim:m:v_rod:rare
кадовбові кадівб noun:inanim:m:v_dav:rare
кадовбу кадівб noun:inanim:m:v_dav:rare
кадівб кадівб noun:inanim:m:v_zna:rare
кадовбом кадівб noun:inanim:m:v_oru:rare
кадовбі кадівб noun:inanim:m:v_mis:rare
кадовбові кадівб noun:inanim:m:v_mis:rare
кадовбу кадівб noun:inanim:m:v_mis:rare
кадовбе кадівб noun:inanim:m:v_kly:rare
кадовби кадівб noun:inanim:p:v_naz:rare
кадовбів кадівб noun:inanim:p:v_rod:rare
кадовбам кадівб noun:inanim:p:v_dav:rare
кадовби кадівб noun:inanim:p:v_zna:rare
кадовбами кадівб noun:inanim:p:v_oru:rare
кадовбах кадівб noun:inanim:p:v_mis:rare
кадовби кадівб noun:inanim:p:v_kly:rare


хріна noninfl

#
# Дієслова
#
# !verb

бути бути verb:inf:imperf
буть бути verb:inf:imperf:short
буду бути verb:futr:s:1:imperf
будеш бути verb:futr:s:2:imperf
буде бути verb:futr:s:3:imperf
будемо бути verb:futr:p:1:imperf
будем бути verb:futr:p:1:imperf
будете бути verb:futr:p:2:imperf
будуть бути verb:futr:p:3:imperf
є бути verb:pres:p:1/2/3:imperf
є бути verb:pres:s:1/2/3:imperf
єсть бути verb:pres:p:1/2/3:imperf:&predic:rare
єсть бути verb:pres:s:1/2/3:imperf:&predic:rare
єси бути verb:pres:s:2:imperf:rare
суть бути verb:pres:p:3:imperf:rare
був бути verb:past:m:imperf
була бути verb:past:f:imperf
було бути verb:past:n:imperf:&insert
були бути verb:past:p:imperf
будь бути verb:impr:s:2:imperf
будьмо бути verb:impr:p:2:imperf
будьте бути verb:impr:p:3:imperf
бувши бути advp:imperf

жити-бути жити-бути verb:inf:imperf             # lim
жив-був жити-бути verb:past:m:imperf
жила-була жити-бути verb:past:f:imperf
жило-було жити-бути verb:past:n:imperf
жили-були жити-бути verb:past:p:imperf

писано-переписано писати-переписати verb:perf:impers        # lim
почавшись початися advp:rev:perf

пробути пробути verb:inf:perf
пробуду пробути verb:futr:s:1:perf
пробудеш пробути verb:futr:s:2:perf
пробуде пробути verb:futr:s:3:perf
пробудемо пробути verb:futr:p:1:perf
пробудем пробути verb:futr:p:1:perf
пробудете пробути verb:futr:p:2:perf
пробудуть пробути verb:futr:p:3:perf
пробув пробути verb:past:m:perf
пробула пробути verb:past:f:perf
пробуло пробути verb:past:n:perf
пробули пробути verb:past:p:perf
пробудь пробути verb:impr:s:2:perf
пробудьмо пробути verb:impr:p:2:perf
пробудьте пробути verb:impr:p:3:perf
пробувши пробути advp:perf

боронь боронити verb:impr:s:2:imperf:coll

диви дивитися verb:rev:imperf:impr:s:2:short
дивіть дивитися verb:rev:imperf:impr:p:2:short

многий многий adj:m:v_naz/v_zn2:rare
многая многий adj:p:v_naz/v_zn2:rare
многії многий adj:p:v_naz/v_zn2:rare


# паралельна: кляну - клену
кленім клясти verb:impr:p:1:imperf:rare
кленімо клясти verb:impr:p:1:imperf:rare
кленіть клясти verb:impr:p:2:imperf:rare
клену клясти verb:pres:s:1:imperf:rare
кленеш клясти verb:pres:s:2:imperf:rare
клене клясти verb:pres:s:3:imperf:rare
